Kuukausi;SaajatYhteensä;EtuudetYhteensä;PäivätYhteensä;OsuusYhteensä;Saajat300;Etuudet300;Päivät300;Osuus300;Saajat500;Etuudet500;Päivät500;Osuus500;Saajat1000;Etuudet1000;Päivät1000;Osuus1000
2015M01;975;703633,24;20998;411040,02;201;144313,56;4320;72156,78;371;263202,68;7945;131601,34;403;296117;8733;207281,9
2015M02;965;642590,49;19156;373945,75;213;143379,2;4285;71689,6;353;235958,76;7057;117979,38;399;263252,53;7814;184276,77
2015M03;981;683747,86;20470;399338,69;215;147393,98;4477;73696,99;366;249030,08;7496;124515,04;405;287323,8;8497;201126,66
2015M04;983;701237,19;20933;411857,08;218;142826,34;4315;71413,17;350;252218,42;7646;126109,21;415;306192,43;8972;214334,7
2015M05;951;640727,12;19158;376097,43;205;136308,52;4037;68154,26;342;225749,24;6965;112874,62;405;278669,36;8156;195068,55
2015M06;985;673957,69;20205;393797,34;228;152823,22;4456;76411,61;348;237042;7341;118521;409;284092,47;8408;198864,73
2015M07;1071;808492,9;24171;473155,17;236;169148,04;5076;84574,02;378;294801,26;8956;147400,63;457;344543,6;10139;241180,52
2015M08;1071;725149,86;21867;426122,99;237;159194,34;4825;79597,17;375;248215,22;7660;124107,61;459;317740,3;9382;222418,21
2015M09;1042;721265,47;21777;423337,53;226;152132,4;4612;76066,2;376;255609,08;7941;127804,54;441;313523,99;9224;219466,79
2015M10;1003;701016,24;21277;411741,33;219;142308,56;4406;71154,28;352;252541,62;7622;126270,81;433;306166,06;9249;214316,24
2015M11;958;631697,19;19259;373030,68;205;136083,56;4223;68041,78;338;209703,22;6571;104851,61;415;285910,41;8465;200137,29
2015M12;1012;758488,69;22917;447562,51;220;155685,5;4783;77842,75;351;261212,38;7738;130606,19;443;341590,81;10396;239113,57
2016M01;1060;730236,39;22609;430498,89;226;148996,26;4574;74498,13;371;254336,66;7589;127168,33;464;326903,47;10446;228832,43
2016M02;1081;725040,14;21794;427241,52;232;152074,26;4673;76037,13;378;249358,62;7567;124679,31;473;323607,26;9554;226525,08
2016M03;1071;791867,9;23854;465116,05;230;170280,36;5148;85140,18;373;275677,04;8396;137838,52;469;345910,5;10310;242137,35
2016M04;1072;752366,05;22666;442134,14;234;157060,98;4749;78530,49;375;265549,48;7975;132774,74;466;329755,59;9942;230828,91
2016M05;1074;726037,66;21827;427422,56;219;143450,68;4372;71725,34;379;260568,32;7813;130284,16;479;322018,66;9642;225413,06
2016M06;1078;756394,92;23045;446221,09;231;147065,48;4568;73532,74;370;269211,28;8103;134605,64;481;340118,16;10374;238082,71
2016M07;1103;760454,47;22780;448981,56;228;148575,18;4605;74287,59;383;268107,68;8007;134053,84;492;343771,61;10168;240640,13
2016M08;1151;859236,3;26041;506811,93;248;174692,38;5450;87346,19;400;298575,02;8999;149287,51;505;385968,9;11592;270178,23
2016M09;1098;763197,88;22993;451777,07;225;148093,7;4618;74046,85;382;264213,52;7932;132106,76;492;350890,66;10443;245623,46
2016M10;1048;706557,55;21194;420180,31;196;125924,96;3920;62962,48;370;246124,9;7391;123062,45;482;334507,69;9883;234155,38
2016M11;1035;773119,36;23047;459507,42;195;128952,7;4005;64476,35;361;279427,96;8271;139713,98;480;364738,7;10771;255317,09
2016M12;1063;769893,81;23302;458051,96;194;136422,12;4262;68211,06;374;267946,42;8076;133973,21;495;365525,27;10964;255867,69
2017M01;1143;798617,26;24390;471939,04;217;144944,7;4585;72472,35;411;290520,5;8803;145260,25;517;363152,06;11002;254206,44
2017M02;1124;754729,63;22791;447981,5;212;139380,66;4292;69690,33;393;262265,54;7952;131132,77;521;353083,43;10547;247158,4
2017M03;1140;849360,23;25772;503819,13;224;166984,62;5181;83492,31;389;286680,54;8790;143340,27;531;395695,07;11801;276986,55
2017M04;1119;757030,97;22847;448892,33;223;147905,88;4582;73952,94;379;257240,86;7744;128620,43;517;351884,23;10521;246318,96
2017M05;1146;795968,3;23469;475655,1;231;154944,52;4910;77472,26;377;252669,02;6971;126334,51;539;388354,76;11588;271848,33
2017M06;1173;805108,95;24736;480809,08;253;158547,08;4942;79273,54;374;255288,86;8088;127644,43;547;391273,01;11706;273891,11
2017M07;1179;806345,68;24558;476063,63;252;167830,4;5212;83915,2;392;274061,34;8441;137030,67;536;364453,94;10905;255117,76
2017M08;1243;931589,66;28187;550983,66;257;186617,98;5693;93308,99;423;319027,54;9722;159513,77;564;425944,14;12772;298160,9
2017M09;1197;787987,43;24702;468061,99;249;159305,42;4965;79652,71;407;258340,62;8488;129170,31;541;370341,39;11249;259238,97
2017M10;1144;771986,7;23943;460537,87;218;137920,34;4302;68960,17;402;261343,76;8372;130671,88;526;372722,6;11269;260905,82
2017M11;1132;827982,54;25571;493334,95;210;149957,3;4687;74978,65;398;281306,84;9049;140653,42;527;396718,4;11835;277702,88
2017M12;1108;759195,48;23396;454019,32;201;133997,2;4157;66998,6;387;253090,38;8067;126545,19;524;372107,9;11172;260475,53
2018M01;1216;885291,27;27105;528819,46;234;159881,3;5020;79940,65;417;294540,84;9293;147270,42;566;430869,13;12792;301608,39
2018M02;1170;756424,07;23350;451007,68;217;131836,58;4179;65918,29;400;260609,28;8064;130304,64;554;363978,21;11107;254784,75
2018M03;1156;800950,64;24711;478958,69;220;149841,66;4491;74920,83;384;258692,14;8346;129346,07;553;392416,84;11874;274691,79
2018M04;1139;756468,25;23482;452892,99;211;132895,56;4053;66447,78;381;250278,38;8053;125139,19;549;373294,31;11376;261306,02
2018M05;1134;806346,92;25501;482295,91;200;134907,82;4179;67453,91;391;275826,86;9016;137913,43;547;395612,24;12306;276928,57
2018M06;1150;743976,61;23567;444295,94;207;133024,16;4091;66512,08;393;249414,26;8071;124707,13;551;361538,19;11405;253076,73
2018M07;1221;810190,86;25572;481431,56;227;141562,08;4403;70781,04;430;286948,12;9155;143474,06;567;381680,66;12014;267176,46
2018M08;1251;903312,55;28720;535562,03;226;164336,4;5027;82168,2;454;319447,36;10601;159723,68;572;419528,79;13092;293670,15
2018M09;1179;730906,89;23057;435553,72;208;130409,34;3904;65204,67;416;249996,18;8163;124998,09;556;350501,37;10990;245350,96
2018M10;1133;781940,34;25114;468729,54;196;127133,62;3983;63566,81;394;266009,88;8724;133004,94;547;388796,84;12407;272157,79
2018M11;1113;763268,25;24381;458673,11;180;122580,1;3881;61290,05;378;255493,24;8394;127746,62;556;385194,91;12106;269636,44
2018M12;1093;719942,32;22548;433262,33;180;114748,66;3575;57374,33;368;238737,82;7542;119368,91;546;366455,84;11431;256519,09
2019M01;1220;861465,72;27155;513895,05;233;168738,88;5248;84369,44;402;276915,9;8960;138457,95;588;415810,94;12947;291067,66
2019M02;1143;733919,08;23177;440314,53;205;131154,48;4123;65577,24;367;235989,66;7510;117994,83;571;366774,94;11544;256742,46
2019M03;1131;744845,55;23691;449203,95;203;132552;4171;66276;353;228387,66;7533;114193,83;577;383905,89;11987;268734,12
2019M04;1120;762216,55;24470;458849,21;189;127645,38;3996;63822,69;364;245866,48;7964;122933,24;573;388704,69;12510;272093,28
2019M05;1144;792661,73;25068;479005,09;175;119363,24;3687;59681,62;383;259927,36;8318;129963,68;590;413371,13;13063;289359,79
2019M06;1170;766139,16;24234;461760,22;191;120957,58;3805;60478,79;392;251728,38;8038;125864,19;590;393453,2;12391;275417,24
2019M07;1200;830830,67;26643;501655,64;185;130501,26;4056;65250,63;392;269127,88;8700;134563,94;628;431201,53;13887;301841,07
2019M08;1219;841415,67;26719;508289,66;194;131786,82;4193;65893,41;398;271719,74;8633;135859,87;627;437909,11;13893;306536,38
2019M09;1175;749657,85;24270;454207,55;191;118748,34;4069;59374,17;383;234016,38;7681;117008,19;602;396893,13;12520;277825,19
2019M10;1146;795473,81;25444;480945,6;189;127504,3;4101;63752,15;366;251926,02;8029;125963,01;598;416043,49;13314;291230,44
2019M11;1066;692049,45;22145;418593,02;182;113173,9;3737;56586,95;340;216034,08;6961;108017,04;546;362841,47;11447;253989,03
2019M12;1107;763396,24;24204;458828,15;193;127404,4;4098;63702,2;358;250341,68;7920;125170,84;558;385650,16;12186;269955,11
2020M01;1223;859997;26387;520059;223;143435;4493;71718;386;266261;8374;133131;619;450300;13520;315210
2020M02;1182;802518;23503;485689;215;137494;4156;68747;367;242874;7217;121437;600;422150;12130;295505
2020M03;1195;837798;24411;505536;224;151521;4647;75760;360;253091;7532;126546;613;433186;12232;303230
2020M04;1188;885421;25594;533869;225;167815;4996;83907;363;261813;7551;130907;603;455793;13047;319055
